 #  Results from PENEPMA. Phi rho z distribution.
 #
 #  Z = 29, S1 =  1, S2 =  4
 #
 #  Angular intervals : theta_1 = 4.000000E+01,  theta_2 = 6.000000E+01
 #                        phi_1 = 0.000000E+00,    phi_2 = 3.600000E+02
 #
 # Intensities of characteristic lines. All in 1/(cm*sr*electron).
 #    P = primary photons (from electron interactions);
 #    C = flourescence from characteristic x rays;
 #    B = flourescence from bremsstrahlung quanta;
 #   TF = C+B, total fluorescence;
 #    T = P+C+B, total intensity;
 #    E = emitted; G = generated;
 #  unc = statistical uncertainty (3 sigma).
 #
 # D (cm)     DF (cm)    PE            unc       PG            unc       CE            unc       CG            unc       BE            unc       BG            unc       TFE           unc       TFG           unc       TE            unc       TG            unc
   1.786E-05  3.572E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.358414E-03  8.42E-05  3.006597E-03  3.47E-05  2.358414E-03  8.42E-05  3.006597E-03  3.47E-05  1.478535E+00  3.09E-01  1.310439E+00  1.06E-01
   1.852E-05  3.705E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.281237E-03  8.28E-05  2.920778E-03  3.42E-05  2.281237E-03  8.28E-05  2.920778E-03  3.42E-05  1.450446E+00  3.06E-01  1.317995E+00  1.06E-01
   1.919E-05  3.837E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.126882E-03  8.00E-05  2.783583E-03  3.34E-05  2.126882E-03  8.00E-05  2.783583E-03  3.34E-05  1.168634E+00  2.74E-01  1.287433E+00  1.05E-01
   1.985E-05  3.969E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.037009E-03  7.83E-05  2.690920E-03  3.28E-05  2.037009E-03  7.83E-05  2.690920E-03  3.28E-05  1.333930E+00  2.93E-01  1.282437E+00  1.05E-01
   2.051E-05  4.102E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.921411E-03  7.60E-05  2.589946E-03  3.22E-05  1.921411E-03  7.60E-05  2.589946E-03  3.22E-05  1.175036E+00  2.75E-01  1.211232E+00  1.02E-01
   2.117E-05  4.234E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.862609E-03  7.49E-05  2.493594E-03  3.16E-05  1.862609E-03  7.49E-05  2.493594E-03  3.16E-05  1.182201E+00  2.76E-01  1.212007E+00  1.02E-01
   2.183E-05  4.366E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.787771E-03  7.33E-05  2.424353E-03  3.12E-05  1.787771E-03  7.33E-05  2.424353E-03  3.12E-05  1.175270E+00  2.75E-01  1.188311E+00  1.01E-01
   2.249E-05  4.499E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.678520E-03  7.10E-05  2.327245E-03  3.05E-05  1.678520E-03  7.10E-05  2.327245E-03  3.05E-05  1.225729E+00  2.81E-01  1.254590E+00  1.04E-01
   2.315E-05  4.631E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.613704E-03  6.97E-05  2.242360E-03  3.00E-05  1.613704E-03  6.97E-05  2.242360E-03  3.00E-05  1.059356E+00  2.61E-01  1.177665E+00  1.00E-01
   2.382E-05  4.763E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.510133E-03  6.74E-05  2.179029E-03  2.95E-05  1.510133E-03  6.74E-05  2.179029E-03  2.95E-05  1.103178E+00  2.66E-01  1.146706E+00  9.89E-02
   2.448E-05  4.896E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.499442E-03  6.72E-05  2.108142E-03  2.90E-05  1.499442E-03  6.72E-05  2.108142E-03  2.90E-05  1.233481E+00  2.81E-01  1.140003E+00  9.86E-02
   2.514E-05  5.028E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.421931E-03  6.54E-05  2.038767E-03  2.86E-05  1.421931E-03  6.54E-05  2.038767E-03  2.86E-05  1.182548E+00  2.76E-01  1.052333E+00  9.47E-02
